Fish code,Species,Site,Date,Weight (g),Fork length (cm)
C32,Coho,BA,8/7/92,12.8,9.8
C33,Coho,BA,8/7/92,7,8.6
C34,Coho,BA,8/7/92,3.6,6.8
C36,Coho,RT03,11/17/92,11.8,10
C37,Coho,RK05,6/13/92,0.5,4.1
C38,Coho,RK05,6/13/92,0.7,4.7
C39,Coho,RK11,6/21/92,2.2,5.7
C40,Coho,RK11,6/22/92,2,6.4
C41,Coho,RK11,6/22/92,3.6,6.9
C42,Coho,RK11,6/22/92,2.2,6.4
C43,Coho,RK05,6/12/92,0.4,3.8
C44,Coho,RK05,6/12/92,1.3,5.5
C45,Coho,RK05,6/12/92,2,5.8
C47,Coho,RK05,6/12/92,1.5,5.5
C49,Coho,RK17,6/29/92,2.4,6
C50,Coho,RK17,6/29/92,3.7,7
C51,Coho,RK17,6/29/92,2.7,6.3
C52,Coho,RK17,6/29/92,2.5,7.4
C53,COHO,RK17,6/29/92,3,6.7
C54,Coho,RK16,6/21/92,2.7,6.4
C55,Coho,RK16,6/21/92,1.6,5.7
C56,Coho,RT03,6/23/92,2.3,6.4
C57,Coho,RT03,6/23/92,1.8,5.7
C58,Coho,RT03,6/23/92,4.1,7.6
C59,Coho,RT03,6/23/92,2.9,6.8
C60,Coho,RT03,6/23/92,3.2,6.7
C61,Coho,RT12,7/1/92,2,5.7
C62,Coho,RT12,7/1/92,8.6,9.1
C63,Coho,RT12,7/1/92,1.6,5.4
C64,Coho,RT12,7/1/92,4.3,7.3
C65,Coho,RT02,6/18/92,3.1,6.7
C66,Coho,RT02,6/18/92,2.6,6.3
C68,Coho,RT02,6/18/92,2.4,6.6
C69,Coho,RT02,6/18/92,2.5,6.4
C70,Coho,RT02,6/18/92,6.1,8.5
C71,Coho,RT02,6/18/92,3.9,7.4
C72,Coho,RP02,4/7/93,2.9,6.8
C73,Coho,RP02,4/7/93,2,5.9
C74,Coho,BP02,3/30/93,3.7,7.2
C75,Coho,BP02,3/30/93,1.4,5.2
C76,Coho,BP02,3/30/93,1.1,5
C77,Coho,RK14,4/4/93,17.4,11.5
C78,Coho,RK14,4/4/93,5.2,8.2
C79,Coho,RK14,4/4/93,2.2,6
C80,Coho,RT02R,4/20/93,2.6,6.4
C81,Coho,RT02R,4/20/93,4.8,7.8
C82,Coho,RT02R,4/20/93,2.6,6.2
C83,Coho,RW04,6/12/93,3,7
C84,Coho,RW04,6/12/93,2.3,6.8
C85,Coho,RW04,6/12/93,2.8,6.7
C86,Coho,RW04,6/12/93,2.1,6
C87,Coho,RW04,6/12/93,1.2,5.3
C88,Coho,RT19,6/17/93,0.2,3.4
C89,Coho,RT19,6/17/93,1.5,5.7
C90,Coho,RT19,6/17/93,3.8,7.3
C91,Coho,RK09,6/27/93,0.2,3.3
C92,Coho,RK09,6/27/93,0.7,4.5
C93,Coho,RK09,6/27/93,2.8,7
C94,Coho,RK09,6/27/93,3.8,7.3
C95,Coho,RK09,6/27/93,0.3,3.5
C96,Coho,RK09,6/27/93,4.9,8.6
C97,Coho,RK09,6/27/93,0.2,3.3
C98,Coho,RK09,6/29/93,5.3,7.9
C99,Coho,RK09,6/29/93,1,4.9
Ch01,Chum,RT02R,4/20/93,0.3,3.5
Ch02,Chum,RT02R,4/20/93,0.4,3.7
Ch03,Chum,RT02R,4/20/93,0.4,4.1
Ch04,Chum,RT02R,4/20/93,0.4,3.8
CH05,Chum,BP01R,5/15/93,0.3,3.8
CH06,Chum,BP01R,5/16/93,0.3,3.6
CH07,Chum,BP01R,5/16/93,0.2,3.6
