Fish code,del13C,Std. error,del15N,Std. error
C68,-25.43,0.04,10.57,0.01
C69,-27.54,0.06,11.19,0.03
C70,-21.33,0.11,14.34,0.09
C71,-20.98,0.15,14.79,0.12
C72,-22.32,0.06,13.41,0.18
C73,-29.56,0.11,10.06,0.13
C74,-25.04,0.01,10.47,0.11
C75,-26.62,0.09,10.64,0.1
C76,-24.54,0.03,10.91,0.02
C77,-21.39,0.13,14.89,0.06
C78,-22.86,0.01,12.97,0.09
C79,-22.13,0.13,13.32,0
C80,-21.65,0.08,13.93,0.04
C81,-22.2,0.06,13.2,0.05
C82,-22.33,0.14,13.77,0
C83,-23.96,0.11,9.85,0.16
C84,-24.53,0.11,10.39,0.06
C85,-24.08,0.08,10.59,0.15
C86,-23.48,0.11,11.29,0.11
C87,-22.65,0.01,12.01,0.09
C88,-20.97,0.05,15.82,0.03
C89,-22.47,0.08,14.33,0.06
C90,-23.53,0.08,13.78,0.06
C91,-21.97,0.01,12.78,0.07
C92,-24.38,0.05,11.34,0.11
C93,-24.82,0.01,10.72,0.13
C94,-24.15,0.11,12.67,0.09
C95,-20.76,0.03,14.35,0.01
C96,-24.7,0.01,12.69,0.02
C97,-22.55,0.01,12.82,0.01
C98,-25.17,0.14,11.25,0.13
C99,-24.16,0.06,11.27,0.09
Ch01,-20.01,0.07,12.65,0.11
Ch02,-20.74,0.06,12.49,0.02
Ch03,-21.22,0.03,11.61,0.09
Ch04,-21.74,0.03,12.34,0.08
CH05,-21.51,0.09,13.73,0.02
CH06,-20.84,0.01,13.3,0.01
CH07,-20.92,0.04,13.76,0.1
CH08,-23.36,0.09,12.12,0.09
CH09,-20.51,0.14,13.2,0.16
CH10,-21.15,0.03,12.46,0.04
D01,-22.61,0,13.3,0.04
D02,-24.14,0.05,11.58,0.14
D03,-23.46,0.09,12.28,0.06
D04,-23.16,0.16,13.08,0.14
D05,-24.05,0,11.9,0.07
D06,-23.49,0.01,12.49,0.14
D07,-24.29,0.06,11.8,0.14
D08,-26.72,0.01,10.22,0
D09,-25.52,0.15,9.72,0.07
D10,-22.95,0.06,12.7,0.1
D100,-30.05,0.04,8.82,0.13
D11,-21.33,0.01,12.74,0.05
D12,-23.1,0.04,12.01,0.02
D13,-22.43,0.06,12.44,0.12
D14,-22.23,0.01,13.3,0.07
D15,-23.78,0.02,10.08,0.01
D16,-21.72,0.16,13.78,0.09
D17,-21.74,0.09,14.28,0.13
D18,-22.26,0.03,12.92,0.1
D19,-23.78,0.1,11.07,0.13
D20,-26.53,0.08,10.4,0.06
D21,-24.06,0.05,11.16,0.05
D22,-23.47,0.03,11.54,0.06
D23,-27.8,0.09,9.47,0.09
D24,-23.52,0.07,11.75,0.11
D25,-22.63,0.01,12.87,0.09
D26,-23.89,0.08,12.13,0.05
D27,-21.31,0.05,13.99,0.13
D28,-22.52,0.12,12.87,0.01
D29,-25.13,0.08,10.13,0.17
D30,-21.77,0.18,12.78,0.11
D31,-24.52,0.11,10.4,0.1
D32,-24.29,0.13,12.82,0
D33,-23.85,0.07,11.45,0.1
