gene_id,ERR188044,ERR188104,ERR188234,ERR188245,ERR188257,ERR188273,ERR188337,ERR188383,ERR188401,ERR188428,ERR188454,ERR204916
NM_001144003|SLITRK2,0,0,0,0,0,0,0,0,0,0,0,0
NM_001159704|FHL1,117,153,108,0,28,6,93,25,93,516,0,71
NM_001104545|TMEM255A,0,43,0,0,0,0,0,0,0,0,0,0
NR_109985|LOC101927830,7,13,17,12,10,0,22,12,22,7,0,9
NM_001006681|SPIN2B,27,0,42,47,108,0,48,3,48,44,50,71
NM_138737|HEPH,437,110,1,33,42,22,192,59,192,7,122,274
NM_001195214|YIPF6,2,77,43,1,38,50,42,43,42,45,2,3
NM_017677|MTMR8,174,163,187,74,95,60,139,85,139,95,138,185
NM_005314|GRPR,180,96,50,12,31,51,44,39,44,170,66,26
NM_001184768|ARMCX6,76,113,182,4,55,41,119,74,119,6,128,54
NM_001105576|SOWAHD,120,113,237,157,40,78,53,109,53,75,126,203
NM_001012978|BEX5,51,72,143,0,55,14,59,0,59,0,250,106
NM_001586|TEX28,0,0,0,0,0,0,0,0,0,0,0,0
NM_001142806|SLC6A8,0,0,0,0,0,0,0,0,0,0,0,0
NR_030774|UPRT,330,406,372,153,0,114,283,217,283,209,308,268
NM_001300888|PBDC1,97,74,76,61,99,30,94,73,94,27,118,72
NM_000194|HPRT1,4525,7111,5685,4181,5021,2008,8198,6298,8198,4043,4833,5815
NM_001271682|FTH1P18,0,0,0,0,0,0,0,0,0,0,0,0
NR_106954|MIR6894,3,2,3,3,2,2,4,1,4,3,5,4
NM_004780|TCEAL1,173,61,203,166,77,62,262,140,262,72,194,104
NM_001167992|PQBP1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001001671|MAP3K15,14,18,42,4,3,0,8,13,8,0,19,22
NM_005710|PQBP1,75,18,72,107,59,52,78,28,78,56,60,90
NR_131982|LOC105373383,9,8,13,10,11,2,12,12,12,8,2,18
NM_001305840|TCEAL4,25,147,26,10,23,6,175,10,175,8,21,13
NM_001477|GAGE12I,0,0,0,0,0,0,0,0,0,0,0,0
NM_001017978|CT83,0,0,0,0,0,0,0,0,0,0,0,0
NM_001025580|AMMECR1,195,0,0,0,0,0,242,0,242,0,0,139
NM_001099681|MAGIX,1,16,6,0,0,9,33,18,33,10,0,6
NM_001011658|TRAPPC2,1002,1165,167,888,923,651,956,909,956,1046,828,895
NM_001099684|FAM156B,176,70,0,650,0,218,159,0,159,0,513,567
NM_172246|CSF2RA,0,0,0,0,0,0,0,0,0,0,0,0
NR_110400|MIR325HG,0,0,0,0,0,0,0,0,0,0,0,0
NR_031708|MIR513B,0,0,0,0,0,0,0,0,0,0,0,0
NR_002984|SNORA56,1,1,1,1,1,1,1,1,1,1,1,1
NM_033031|CCNB3,37,50,7,8,10,6,28,8,28,4,28,13
NM_001587|OCRL,625,0,212,21,0,0,582,0,582,365,368,457
NM_130776|XAGE3,0,0,0,0,0,0,0,0,0,0,0,0
NR_037916|XIAP,479,936,316,329,0,255,348,568,348,149,448,415
NM_001006684|TCEAL8,318,507,261,237,326,70,458,499,458,158,479,391
NM_007268|VSIG4,0,0,0,0,0,0,0,0,0,0,0,0
NM_031462|CD99L2,3773,1496,2397,2033,1541,1023,1976,1529,1976,1314,2266,1582
NM_001184749|SLITRK4,0,0,5,0,0,0,0,0,0,0,0,0
NM_001242495|FAM156A,0,0,0,0,0,0,0,40,0,0,0,0
NM_001272071|AP1S2,1,1,0,1,1,1,1,1,1,1,1,1
NM_001081550|THOC2,6014,7449,3957,2272,4336,2220,5430,4861,5430,3760,4730,4752
NM_018196|TMLHE,1086,1111,765,537,448,397,801,560,801,503,751,801
NR_028344|LINC00632,0,0,0,0,0,0,0,0,0,0,0,0
