gene_id	ERR188245	ERR188428	ERR188337	ERR188401	ERR188257	ERR188383	ERR204916	ERR188234	ERR188273	ERR188454	ERR188104	ERR188044
NM_001025265|CXorf65	16	15	47	47	12	34	53	39	25	49	50	8
NR_033836|PIGA	115	68	171	171	87	104	290	64	123	234	170	86
NM_000052|ATP7A	1253	1517	1733	1733	1242	2166	2400	1709	980	1727	3830	3150
NM_001199972|RPL36A	342	109	1797	1797	268	157	236	939	136	571	1093	826
NM_001184745|PPP1R3F	3	26	49	49	37	4	62	62	3	2	3	31
NM_001282167|PORCN	41	45	315	315	45	179	128	93	23	27	78	99
NM_014782|ARMCX2	83	7	193	193	114	162	229	35	181	1	71	90
NM_052957|ACRC	89	56	132	132	117	89	60	153	55	117	106	147
NM_178124|CXorf40A	521	461	1189	1189	637	528	962	843	337	751	747	900
NM_002024|FMR1	151	233	659	659	463	376	190	537	134	817	671	490
NM_153477|UXT	583	425	683	683	289	309	596	730	103	421	643	745
NM_003611|OFD1	1366	2227	2870	2870	1933	2164	1857	2344	1040	1788	3187	2769
NM_006406|PRDX4	2529	1991	2628	2628	2431	3438	2478	3159	797	3928	2355	2346
NM_145305|SLC25A43	771	910	1242	1242	1016	1041	1037	870	410	1262	1210	970
NM_000291|PGK1	61297	79170	72641	72641	46494	97443	120825	104502	45612	78172	146310	118302
NM_003410|ZFX	715	1120	1755	1755	1510	954	1949	1348	1071	41	440	1668
NM_032121|MAGT1	4595	3939	6268	6268	5912	6627	5635	7221	2661	9715	7077	8003
NM_019863|F8	210	245	232	232	219	220	210	277	111	321	430	486
NR_073150|RAP2C	6	642	12	12	15	27	5	58	321	9	648	437
NM_001184897|PHF8	432	278	991	991	489	620	555	874	362	446	572	809
NM_007213|PRAF2	515	242	313	313	329	236	279	634	245	388	439	382
NM_001242310|EDA2R	69	2	45	45	8	5	37	22	252	15	20	64
NM_001256577|RPL10	3668	731	618	618	523	1190	733	2723	733	814	591	985
NM_001081573|GAB3	161	97	275	275	137	133	150	99	6	115	208	34
NM_003372|VBP1	2822	2474	5311	5311	3614	4168	3431	3667	1665	3976	4618	3448
NM_001001996|GPM6B	20	11	51	51	28	30	14	12	5	15	23	28
NR_130733|LINC00106	7	3	31	31	12	9	10	28	7	13	35	43
NM_002414|CD99	2782	4529	5190	5190	4485	4742	3514	6700	3027	5312	4931	7601
NR_027232|LINC00685	19	18	79	79	14	22	72	77	22	51	48	84
NR_015367|LINC01420	1098	1204	2043	2043	1274	1323	1381	1505	695	1365	1626	1595
NM_001185076|FMR1	955	1235	1204	1204	336	433	1366	633	704	727	1921	1649
NM_001114123|ELK1	1681	1329	2830	2830	1464	1519	1984	2579	1046	1696	2784	2708
NM_001282647|SLC35A2	22	21	31	31	46	22	28	15	12	30	20	30
NM_019007|ARMCX6	381	366	469	469	407	400	332	766	254	412	381	626
NM_001866|COX7B	5453	3640	8401	8401	5510	6944	4490	6466	2564	6447	6328	6048
NM_152424|AMER1	790	1204	1991	1991	953	878	1170	1536	527	966	1457	1678
NM_001018024|CMC4	1030	735	1677	1677	1289	1446	1216	1513	551	974	1117	984
NM_001129765|NSDHL	229	286	441	441	459	370	364	302	4	93	306	399
NM_003491|NAA10	1731	717	1614	1614	1282	1035	1055	1317	1166	937	1143	1099
NM_016484|PDZD11	972	1044	1848	1848	1446	1276	1330	1933	636	1388	1515	2016
NM_001142428|MORF4L2	85	71	162	162	136	145	102	95	41	135	97	104
NM_001166419|HDAC8	85	110	256	256	181	287	101	192	62	167	247	238
NM_001306188|MOSPD1	117	166	225	225	75	186	185	187	93	245	213	61
NM_001669|ARSD	154	326	395	395	294	250	273	450	70	561	325	618
NM_145284|FAM122B	672	217	260	260	274	1139	668	368	489	282	367	288
NM_152274|FAM58A	343	228	667	667	462	387	278	374	292	344	422	427
NM_001167972|TRMT2B	749	405	816	816	735	552	369	420	295	508	791	679
NM_005647|TBL1X	1258	1391	2011	2011	471	1456	1988	1591	840	455	2318	3730
NM_005629|SLC6A8	66	42	67	67	17	78	87	157	18	103	138	263
NM_001303626|RPL10	20088	24041	28638	28638	19944	35366	25757	16613	8860	12073	30226	33897
NM_001171132|FAM3A	282	86	333	333	227	360	295	156	70	441	152	289
NM_003159|CDKL5	7	43	89	89	30	46	107	64	43	75	36	119
NR_126059|LINC01560	52	101	169	169	134	102	157	144	93	98	179	131
NM_006064|RRAGB	341	322	535	535	285	340	284	342	194	346	473	441
NM_001006639|TCEAL1	164	208	368	368	370	299	328	315	68	366	510	312
NM_015107|PHF8	1382	1936	2993	2993	2008	1770	1981	3144	909	2384	2686	3255
NM_177439|FTSJ1	667	134	570	570	167	463	316	688	366	134	1061	395
NM_181312|TAZ	163	83	118	118	209	80	117	196	143	151	279	145
NM_001042749|STAG2	4787	2518	3378	3378	4080	4970	2399	1977	31	2089	3699	2148
NM_001042351|G6PD	778	576	1570	1570	908	538	1357	627	530	875	1081	951
NR_034005|LINC00891	42	65	54	54	56	86	28	84	30	12	90	59
NM_001017980|VMA21	2477	2225	4137	4137	3329	2960	2602	3210	1395	2510	3924	2519
NM_001170780|FAM122C	16	20	29	29	18	25	20	49	25	50	35	45
NM_024597|MAP7D3	907	1068	1835	1835	1311	1194	1223	1144	642	1400	1706	1566
NM_001042480|GEMIN8	214	215	361	361	252	328	278	687	254	338	244	319
NM_004463|FGD1	75	59	116	116	116	118	64	132	49	106	76	125
NM_006223|PIN4	376	360	463	463	494	476	272	414	169	372	377	237
NM_013346|SNX12	719	1898	2325	2325	601	792	2280	2852	530	1531	1222	737
NM_006986|MAGED1	7790	4252	8320	8320	5582	5186	6728	8467	3874	6908	7296	8725
NM_001078173|FAM127C	24	6	43	43	20	13	69	2	6	7	19	9
NM_181303|NLGN3	29	21	60	60	20	45	18	41	5	69	95	28
NM_001130846|AIFM1	9	41	63	63	61	15	42	18	13	59	38	44
NM_032227|TMEM164	1404	1240	1909	1909	702	1052	843	1901	776	701	1115	1803
NM_006201|CDK16	1490	1396	2105	2105	2060	1497	2789	3080	1189	1478	2520	2776
NR_038988|LINC00630	41	84	63	63	38	42	66	43	27	69	79	51
NM_002893|RBBP7	5722	6747	9843	9843	7725	8371	7653	9137	3474	6828	10086	8120
NM_001185183|VAMP7	280	96	162	162	122	227	146	140	153	229	210	184
