Fish code,Species,Site,Date,del13C,Std. error,del15N,Std. error
ST07,Three spine stickleback,RT02,6/18/92,-27.83,0.04,11.12,0.03
ST08,Three spine stickleback,RT02,6/18/92,-30.3,0.04,9.55,0.05
ST09,Three spine stickleback,RT02,6/18/92,-29.13,0.02,9.55,0.09
ST10,Three spine stickleback,RT02,6/18/92,-30.87,0.01,9.72,0.08
ST11,Three spine stickleback,RT02,6/18/92,-32.37,0.07,8.04,0.13
ST12,Three spine stickleback,RT02,6/18/92,-28.76,0.07,8.64,0.1
ST13,Three spine stickleback,RT02,6/18/92,-28.34,0.01,10.44,0.16
ST14,Three spine stickleback,BP02,3/30/93,-27.15,0.06,9.79,0.13
ST15,Three spine stickleback,BP02,3/30/93,-28.55,0.06,10.59,0.04
ST16,Three spine stickleback,BP01BP,5/15/93,-26.9,0.02,10.23,0.16
ST17,Three spine stickleback,BP01BP,5/15/93,-27.67,0.04,10.73,0.04
ST18,Three spine stickleback,RT03,5/21/93,-29.61,0.02,10.74,0.01
ST19,Three spine stickleback,RT02BP,5/18/93,-30.03,0.03,9.53,0.01
ST20,Three spine stickleback,RT02BP,5/18/93,-29.18,0.01,8.95,0.1
ST21,Three spine stickleback,RT02R,5/16/93,-29.84,0.04,10.58,0.12
ST22,Three spine stickleback,RT02R,5/16/93,-25.43,0.05,11.72,0.04
ST23,Three spine stickleback,RT02-BP,11/7/93,-29.5,0.05,10.21,0.06
ST24,Three spine stickleback,RT02-BP,11/7/93,-29.74,0.13,9.88,0.09
ST25,Three spine stickleback,RT02,4/5/93,-31.22,0.17,7.96,0.01
ST26,Three spine stickleback,RT02-BP,4/20/93,-31.78,0.13,9.77,0.16
ST28,Three spine stickleback,RT02,4/19/93,-29.06,0.04,9.2,0.1
ST29,Three spine stickleback,RT02,4/19/93,-31.87,0.08,9.33,0.01
ST30,Three spine stickleback,BP02-R,4/19/93,-27.43,0.01,12.73,0.06
ST31,Three spine stickleback,BP04,10/23/93,-28.56,0.06,8.93,0.16
ST32,Three spine stickleback,BP04,10/23/93,-31.44,0.12,9.49,0.05
ST33,Three spine stickleback,RK09,10/22/93,-25.76,0.04,13.98,0.02
ST34,Three spine stickleback,RK09,10/25/93,-28.93,0.04,12.14,0.05
