wormbase_ID,WT,nekl-2(fd90),nekl-3(gk506)
WBGene00015398,46,167,232
WBGene00015399,50,167,91
WBGene00015400,1881,2369,2253
WBGene00015401,4,3,3
WBGene00015402,122,190,233
WBGene00015403,581,690,402
WBGene00015404,1228,1305,1342
WBGene00015405,316,274,264
WBGene00015406,0,1,2
WBGene00015407,182,173,183
WBGene00015408,140,183,227
WBGene00015409,7,13,23
WBGene00015410,73,82,109
WBGene00015411,0,0,2
WBGene00015412,19,8,22
WBGene00015413,3476,3101,3312
WBGene00015414,0,1,0
WBGene00015416,8,16,15
WBGene00015417,0,0,0
WBGene00015418,2201,2678,2770
WBGene00015419,0,7,4
WBGene00015421,0,0,1
WBGene00015422,3,0,0
WBGene00015423,188,266,232
WBGene00015424,23,49,33
WBGene00015425,332,251,270
WBGene00015426,100,5,12
WBGene00015427,47,58,86
WBGene00015428,0,0,0
WBGene00015429,298,347,357
WBGene00015430,213,340,505
WBGene00015432,1,2,1
WBGene00015433,46,63,61
WBGene00015434,135,204,260
WBGene00015435,3,4,8
WBGene00015436,5,1,5
WBGene00015437,10,18,32
WBGene00015438,0,1,0
WBGene00015439,0,0,0
WBGene00015440,25,19,34
WBGene00015441,37,35,51
WBGene00015442,63,5,1
WBGene00015444,1,4,15
WBGene00015446,0,0,1
WBGene00015447,2,0,0
WBGene00015448,7,2,3
WBGene00015449,53,22,17
WBGene00015450,419,356,424
WBGene00015451,103,172,209
WBGene00015453,8,7,7
WBGene00015454,459,598,765
WBGene00015455,4,1,8
WBGene00015456,13,7,8
WBGene00015457,2,8,5
WBGene00015458,0,3,2
WBGene00015459,0,0,0
WBGene00015460,207,216,275
WBGene00015461,299,159,184
WBGene00015462,212,283,296
WBGene00015463,255,312,333
WBGene00015464,4590,3268,3511
WBGene00015465,0,7,2
WBGene00015466,170,248,345
WBGene00015467,1,0,2
WBGene00015468,214,318,388
WBGene00015469,552,804,967
WBGene00015470,837,1082,1249
WBGene00015471,159,151,175
WBGene00015472,893,2278,2295
WBGene00015473,36,15,13
WBGene00015474,204,306,340
WBGene00015476,36,172,196
WBGene00015477,1439,1426,1449
WBGene00015478,92,126,122
WBGene00015479,192,154,228
WBGene00015480,978,488,498
WBGene00015481,3039,2698,3128
WBGene00015483,104,224,314
WBGene00015484,1570,2123,2253
WBGene00015485,349,551,605
WBGene00015486,308,222,272
WBGene00015487,412,254,316
WBGene00015488,125,181,211
WBGene00015489,0,2,0
WBGene00015491,0,0,1
WBGene00015492,370,513,547
WBGene00015493,2,1,2
WBGene00015494,147,152,195
WBGene00015495,21,25,42
WBGene00015496,154,27,8
WBGene00015497,53,75,108
WBGene00015499,709,795,905
WBGene00015500,0,0,0
WBGene00015501,485,707,918
WBGene00015504,112,152,137
WBGene00015505,12,26,21
WBGene00015507,548,517,591
WBGene00015508,268,322,438
WBGene00015509,871,1570,1926
WBGene00015510,2345,1804,1729
WBGene00015511,6,21,25
WBGene00015512,12499,10545,12006
WBGene00015513,222,250,241
WBGene00015514,9077,15579,16041
WBGene00015515,474,286,293
WBGene00015516,6,7,8
WBGene00015517,91,219,209
WBGene00015518,57,258,304
WBGene00015519,45,115,94
WBGene00015520,0,0,0
WBGene00015521,0,0,0
WBGene00015522,16,14,21
WBGene00015523,329,626,612
WBGene00015524,423,468,508
WBGene00015525,547,409,528
WBGene00015526,9,11,11
WBGene00015527,69,144,155
WBGene00015528,0,0,0
WBGene00015529,16,68,75
WBGene00015530,0,0,0
WBGene00015531,62,65,80
WBGene00015532,7,22,27
WBGene00015533,0,0,0
WBGene00015534,0,0,0
WBGene00015535,0,12,17
WBGene00015536,44,51,42
WBGene00015537,3,88,128
WBGene00015538,2014,994,1015
WBGene00015539,92,110,124
WBGene00015540,1063,886,1074
WBGene00015541,427,281,377
WBGene00015544,2,0,13
WBGene00015545,1167,305,279
WBGene00015546,16,6,9
WBGene00015547,3617,4365,5235
WBGene00015549,2,0,2
WBGene00015550,1,1,0
WBGene00015551,1424,2440,3219
WBGene00015552,376,651,798
WBGene00015553,1823,2179,2478
WBGene00015554,137,83,95
WBGene00015555,1214,1263,1410
WBGene00015557,88,171,198
WBGene00015558,0,1,2
WBGene00015559,32,159,194
WBGene00015560,29,78,90
WBGene00015561,1002,1178,1592
WBGene00015562,2,6,1
WBGene00015564,0,1,0
WBGene00015565,2430,2034,2090
WBGene00015566,40,56,55
WBGene00015567,749,949,1219
WBGene00015568,2,1,9
WBGene00015569,115,75,122
WBGene00015570,28,32,53
WBGene00015572,0,0,0
WBGene00015573,11,21,15
WBGene00015574,29,9,14
WBGene00015575,2,0,0
WBGene00015576,12,8,8
WBGene00015577,441,490,451
WBGene00015578,22,39,38
WBGene00015579,0,0,0
WBGene00015580,562,1652,1556
WBGene00015581,851,1025,1020
WBGene00015582,7,11,3
WBGene00015583,0,2,2
WBGene00015586,56,61,68
WBGene00015587,0,6,4
WBGene00015588,6,20,7
WBGene00015589,1,0,2
WBGene00015590,31,43,42
WBGene00015591,121,108,100
WBGene00015592,5,8,5
WBGene00015593,0,4,0
WBGene00015594,0,1,0
WBGene00015595,0,2,0
WBGene00015596,0,4,5
WBGene00015597,6,21,39
WBGene00015598,1,4,18
WBGene00015599,0,0,2
WBGene00015600,0,1,0
WBGene00015601,2,10,3
WBGene00015602,1,15,13
WBGene00015603,0,0,0
WBGene00015604,0,0,0
WBGene00015605,21,46,44
WBGene00015606,0,0,0
WBGene00015607,0,0,0
WBGene00015608,253,361,368
WBGene00015609,259,445,439
WBGene00015610,3,1,0
WBGene00015611,33,39,47
WBGene00015613,1,0,1
WBGene00015614,0,0,0
WBGene00015615,2,0,0
WBGene00015616,0,1,7
WBGene00015618,8,20,20
WBGene00015619,289,443,597
WBGene00015620,574,336,118
WBGene00015621,146,268,267
WBGene00015622,147,25,13
WBGene00015623,322,61,72
WBGene00015624,13,17,39
WBGene00015625,7,11,28
WBGene00015626,18,15,18
WBGene00015627,0,0,0
WBGene00015628,0,0,0
WBGene00015629,1,2,0
WBGene00015630,0,0,2
WBGene00015631,66,60,32
WBGene00015632,728,977,1041
WBGene00015633,79,226,246
WBGene00015634,5,10,10
WBGene00015635,669,808,878
WBGene00015636,0,2,2
WBGene00015637,1,1,0
WBGene00015638,259,289,289
WBGene00015639,7,10,7
WBGene00015640,181,234,285
WBGene00015641,217,238,368
WBGene00015642,133,289,343
WBGene00015644,949,1242,1386
WBGene00015645,162,15,11
WBGene00015646,3480,132,222
WBGene00015647,1149,3752,4656
WBGene00015648,221,561,623
WBGene00015649,8,9,18
WBGene00015650,969,1683,1627
WBGene00015651,19,20,17
WBGene00015652,0,0,0
WBGene00015653,0,0,0
WBGene00015654,0,0,0
WBGene00015655,0,0,0
WBGene00015656,0,0,0
WBGene00015658,641,953,1177
WBGene00015660,205,582,503
WBGene00015661,0,0,0
WBGene00015662,1,2,7
WBGene00015663,8,0,0
WBGene00015664,11,16,20
WBGene00015665,1,7,1
WBGene00015666,3,9,13
WBGene00015667,0,0,0
WBGene00015668,0,4,5
WBGene00015670,13,32,31
WBGene00015671,141,275,296
WBGene00015672,6,8,6
WBGene00015673,38,83,100
WBGene00015674,9,13,21
WBGene00015675,8,17,14
WBGene00015676,1751,1559,1664
WBGene00015677,58,72,76
WBGene00015678,230,282,326
WBGene00015679,1,1,0
WBGene00015680,1375,1804,1945
WBGene00015681,0,0,0
WBGene00015682,2,5,0
WBGene00015683,0,0,0
WBGene00015684,1136,1169,1141
WBGene00015685,0,0,0
WBGene00015686,66,148,200
WBGene00015687,3209,10295,11752
WBGene00015688,0,0,2
WBGene00015689,0,0,0
WBGene00015690,0,0,0
WBGene00015691,480,581,683
WBGene00015692,183,331,391
WBGene00015693,255,353,425
WBGene00015694,4,12,5
WBGene00015695,1275,722,642
WBGene00015696,1,3,2
WBGene00015697,295,338,371
WBGene00015698,20,13,20
WBGene00015700,3,7,7
WBGene00015701,3,27,43
WBGene00015702,457,370,429
WBGene00015703,650,491,630
WBGene00015704,131,235,247
WBGene00015705,46,110,99
WBGene00015706,7,41,54
WBGene00015707,6,11,7
WBGene00015708,10,9,5
WBGene00015709,247,342,300
WBGene00015710,90,33,22
WBGene00015711,13,18,17
WBGene00015712,1,4,4
WBGene00015713,2240,1875,1977
WBGene00015714,10,5,11
WBGene00015715,0,0,0
WBGene00015716,47,70,78
WBGene00015718,0,8,5
WBGene00015719,0,0,0
WBGene00015720,16,11,5
WBGene00015721,0,0,0
WBGene00015722,0,0,0
WBGene00015723,0,0,0
WBGene00015724,0,0,0
WBGene00015725,0,0,0
WBGene00015726,0,0,0
WBGene00015727,0,1,0
WBGene00015728,59,81,58
WBGene00015729,79,175,221
WBGene00015730,0,0,0
WBGene00015731,0,0,0
WBGene00015733,49,64,76
WBGene00015734,3507,2630,2583
WBGene00015735,548,738,817
WBGene00015736,2,1,2
WBGene00015737,0,0,0
WBGene00015738,0,0,0
WBGene00015739,108,162,165
WBGene00015740,202,388,422
WBGene00015741,43,52,40
WBGene00015742,21,24,45
WBGene00015743,1620,1622,1705
WBGene00015744,141,165,194
WBGene00015745,147,151,163
WBGene00015746,198,238,251
WBGene00015747,53,90,113
WBGene00015748,45,86,112
WBGene00015750,30,14,21
WBGene00015751,16,31,45
WBGene00015752,6952,7071,5491
WBGene00015753,369,272,291
WBGene00015754,857,1032,1173
WBGene00015755,1110,1309,1269
WBGene00015756,568,783,702
WBGene00015757,4,9,4
WBGene00015758,9,127,122
WBGene00015759,4352,2308,2168
WBGene00015760,0,0,0
WBGene00015761,0,0,2
WBGene00015762,2,0,0
WBGene00015763,13,5,4
WBGene00015764,0,0,0
WBGene00015765,0,1,1
WBGene00015766,25,32,47
WBGene00015767,801,846,707
WBGene00015768,68,71,60
WBGene00015769,201,362,376
WBGene00015770,0,0,0
WBGene00015771,0,0,0
WBGene00015772,0,1,0
WBGene00015773,0,2,1
WBGene00015774,0,0,0
WBGene00015775,3,4,0
WBGene00015776,607,1047,1544
WBGene00015777,317,289,330
WBGene00015778,3484,4000,4444
WBGene00015779,403,465,588
WBGene00015780,6,42,58
WBGene00015781,2293,625,242
WBGene00015782,0,2,5
WBGene00015783,135,122,106
WBGene00015784,4,9,4
WBGene00015785,0,0,0
WBGene00015786,167,203,302
WBGene00015787,147,167,190
WBGene00015788,12,44,67
WBGene00015789,82,59,58
WBGene00015790,357,574,653
WBGene00015791,1653,4722,4962
WBGene00015792,6,1,4
WBGene00015793,265,227,269
WBGene00015794,169,24,46
WBGene00015795,2052,864,263
WBGene00015796,2,4,9
WBGene00015797,22,16,20
WBGene00015798,11,10,30
WBGene00015799,14,24,19
WBGene00015800,509,798,824
WBGene00015801,447,571,658
WBGene00015802,443,741,839
WBGene00015803,1512,1461,1446
WBGene00015805,110,217,233
WBGene00015806,264,379,347
WBGene00015807,90,79,99
WBGene00015809,1130,1176,1480
WBGene00015810,3072,3050,3425
WBGene00015811,1230,1331,1744
WBGene00015813,1208,1160,1309
WBGene00015814,2182,1662,1426
WBGene00015815,234,331,338
WBGene00015816,41,64,45
WBGene00015817,250,237,254
WBGene00015818,37,45,35
WBGene00015819,18,25,33
WBGene00015820,0,4,2
WBGene00015821,1,0,4
WBGene00015822,50,13,14
WBGene00015823,998,1419,1574
WBGene00015824,114,130,128
WBGene00015825,0,0,0
WBGene00015826,0,0,0
WBGene00015827,0,0,0
WBGene00015828,4,1,0
WBGene00015829,4,5,1
WBGene00015830,0,2,0
WBGene00015832,0,0,0
WBGene00015833,0,0,0
WBGene00015834,0,0,0
WBGene00015835,0,0,0
WBGene00015836,0,0,0
WBGene00015837,0,0,0
WBGene00015838,0,0,0
WBGene00015839,0,0,0
WBGene00015840,0,0,0
WBGene00015841,1552,52,48
WBGene00015842,10,20,17
WBGene00015843,18,16,23
WBGene00015845,0,0,0
WBGene00015846,0,0,0
WBGene00015847,0,0,0
WBGene00015848,0,0,0
WBGene00015849,12,20,15
WBGene00015850,8,8,7
WBGene00015851,5,6,5
WBGene00015852,9,14,14
WBGene00015853,40,39,35
WBGene00015854,0,0,0
WBGene00015855,4,6,1
WBGene00015856,0,0,0
WBGene00015857,40,356,377
WBGene00015858,8,16,13
WBGene00015859,39,74,104
WBGene00015860,13,5,1
WBGene00015861,43,74,115
WBGene00015862,0,24,6
WBGene00015863,0,1,2
WBGene00015864,1,10,21
WBGene00015865,407,1549,1480
WBGene00015866,196,218,234
WBGene00015867,21,17,20
WBGene00015868,708,1096,1443
WBGene00015869,0,0,0
WBGene00015870,0,0,0
WBGene00015871,0,0,0
WBGene00015872,0,0,0
WBGene00015873,0,0,0
WBGene00015874,0,0,0
WBGene00015875,0,0,0
WBGene00015876,2,5,0
WBGene00015877,0,0,0
WBGene00015878,0,2,1
WBGene00015879,7,3,4
WBGene00015882,0,2,3
WBGene00015883,0,0,0
WBGene00015884,2,2,0
WBGene00015885,200,222,207
WBGene00015886,6,4,5
WBGene00015887,1027,644,717
WBGene00015888,0,0,0
WBGene00015889,62,90,105
WBGene00015890,0,0,0
WBGene00015891,0,1,0
WBGene00015892,0,0,0
WBGene00015893,0,0,0
WBGene00015894,1212,60,102
WBGene00015895,0,0,0
WBGene00015896,74,85,135
WBGene00015897,197,477,450
WBGene00015898,1,2,1
WBGene00015899,1,1,0
WBGene00015900,64,77,90
WBGene00015901,43,91,116
WBGene00015902,0,0,1
WBGene00015903,0,3,0
WBGene00015904,0,0,0
WBGene00015905,0,0,0
WBGene00015906,12,33,29
WBGene00015907,0,0,1
WBGene00015908,2,1,0
WBGene00015909,1,0,0
WBGene00015910,82,2,4
WBGene00015911,1,0,0
WBGene00015912,9,17,10
WBGene00015913,15175,19529,20828
WBGene00015914,4,11,32
WBGene00015915,308,201,192
WBGene00015916,276,186,221
WBGene00015917,0,0,1
WBGene00015918,10,13,32
WBGene00015919,58,115,144
WBGene00015920,2285,1584,1939
WBGene00015921,42,109,120
WBGene00015922,240,319,319
WBGene00015924,0,0,0
WBGene00015925,7,6,9
WBGene00015926,1502,1513,1582
WBGene00015927,1751,2040,2448
WBGene00015928,487,892,1039
WBGene00015929,0,3,2
WBGene00015930,144,254,299
WBGene00015931,2,4,1
WBGene00015932,0,16,21
WBGene00015933,507,321,448
WBGene00015934,123,112,117
WBGene00015935,40,106,80
WBGene00015936,7,18,28
WBGene00015937,1,8,6
WBGene00015938,300,486,578
WBGene00015939,30,31,46
WBGene00015940,287,315,328
WBGene00015941,824,380,315
WBGene00015942,735,884,1046
WBGene00015943,2172,2407,2436
WBGene00015944,0,1,0
WBGene00015945,2,2,0
WBGene00015946,13,29,33
WBGene00015947,78,214,339
WBGene00015948,57,88,91
WBGene00015949,342,219,247
WBGene00015950,0,0,0
WBGene00015952,15,29,17
WBGene00015953,35,38,27
WBGene00015954,1110,1052,1408
WBGene00015955,1152,2036,2743
WBGene00015956,4002,3589,3566
WBGene00015957,88,156,165
WBGene00015958,0,0,3
WBGene00015959,0,2,0
WBGene00015960,0,1,2
WBGene00015961,0,0,0
WBGene00015962,0,0,0
WBGene00015963,26,57,51
WBGene00015964,17,18,32
WBGene00015965,554,186,170
WBGene00015968,1148,2171,3289
WBGene00015969,120,120,154
WBGene00015970,1,3,2
WBGene00015971,606,592,582
WBGene00015972,220,356,462
WBGene00015973,1,7,6
WBGene00015974,64,47,69
WBGene00015975,178,175,198
WBGene00015976,87,93,142
WBGene00015977,14,50,55
WBGene00015978,540,677,819
WBGene00015979,0,1,3
WBGene00015980,76,111,66
WBGene00015981,149,152,206
WBGene00015982,0,1,1
WBGene00015984,26,30,18
WBGene00015985,5,6,8
WBGene00015986,4,15,4
WBGene00015987,0,0,0
WBGene00015988,3,2,2
WBGene00015989,83,102,108
WBGene00015990,0,0,0
WBGene00015991,2,8,3
WBGene00015992,0,5,1
WBGene00015993,35,206,458
WBGene00015994,0,1,3
WBGene00015996,81,83,78
WBGene00015997,0,0,0
WBGene00015998,0,1,0
WBGene00015999,1,2,5
WBGene00016000,2,0,0
WBGene00016002,1449,1957,2094
WBGene00016003,12,63,96
WBGene00016004,879,1811,1321
WBGene00016005,35,35,41
WBGene00016006,4781,10238,13519
WBGene00016008,12,22,11
WBGene00016009,248,187,214
WBGene00016010,7,0,0
WBGene00016011,1301,1574,1718
WBGene00016012,80,105,139
WBGene00016013,353,128,210
WBGene00016014,566,483,611
WBGene00016015,1217,1219,1395
WBGene00016016,5,3,2
WBGene00016017,0,0,1
WBGene00016018,1088,2099,2104
WBGene00016019,319,330,438
WBGene00016020,2204,3475,3415
WBGene00016021,266,317,370
WBGene00016022,2035,239,209
WBGene00016023,54,192,152
WBGene00016024,58,57,56
WBGene00016025,14,15,2
WBGene00016027,999,696,753
WBGene00016028,614,1198,1271
WBGene00016029,760,30,11
WBGene00016030,347,349,308
WBGene00016032,17,25,30
WBGene00016033,646,893,955
WBGene00016034,152,190,197
WBGene00016037,34,68,63
WBGene00016038,142,284,242
WBGene00016039,0,2,1
WBGene00016040,5,5,10
WBGene00016041,0,3,7
WBGene00016042,0,0,0
WBGene00016043,0,0,0
WBGene00016044,133,229,252
WBGene00016045,352,378,486
WBGene00016046,112,285,344
WBGene00016047,1,0,0
WBGene00016048,1779,1587,1157
WBGene00016049,1,5,0
WBGene00016050,0,0,0
WBGene00016051,0,0,0
WBGene00016052,1010,2403,3142
WBGene00016053,2,1,4
WBGene00016054,0,0,0
WBGene00016055,292,267,276
WBGene00016056,1,3,6
WBGene00016057,372,260,280
WBGene00016058,0,0,0
WBGene00016059,521,1724,2366
WBGene00016060,547,667,755
WBGene00016061,296,973,811
WBGene00016062,666,573,599
WBGene00016063,2,35,31
WBGene00016064,31,116,61
WBGene00016066,7,23,11
WBGene00016067,133,241,267
WBGene00016068,237,272,272
WBGene00016069,38,56,64
WBGene00016070,1,1,2
WBGene00016071,5,4,21
WBGene00016072,8,8,14
WBGene00016073,1088,701,885
WBGene00016074,291,216,205
WBGene00016075,0,0,0
WBGene00016076,0,0,0
WBGene00016077,0,0,0
WBGene00016078,0,0,0
WBGene00016080,3,7,6
WBGene00016081,27,27,28
WBGene00016082,0,0,0
WBGene00016083,0,1,0
WBGene00016084,1,3,0
WBGene00016085,0,3,0
WBGene00016087,153,127,156
WBGene00016088,12,8,22
WBGene00016089,16,31,45
WBGene00016090,13,17,23
WBGene00016091,1,1,2
WBGene00016092,6,9,12
WBGene00016093,74,131,165
WBGene00016094,104,261,241
WBGene00016095,79,374,437
WBGene00016096,32,28,23
WBGene00016097,161,1582,2126
WBGene00016099,22,263,357
WBGene00016100,13,19,29
WBGene00016101,241,409,616
WBGene00016102,101,101,95
WBGene00016103,3238,2924,3107
WBGene00016104,244,362,326
WBGene00016105,61,2,1
WBGene00016106,2506,224,77
WBGene00016107,17,32,20
WBGene00016108,110,114,117
WBGene00016109,15,24,29
WBGene00016110,19,24,35
WBGene00016111,11,53,78
WBGene00016112,121,111,143
WBGene00016113,363,291,428
WBGene00016114,158,226,269
WBGene00016115,806,1284,1415
WBGene00016116,659,714,815
WBGene00016118,3767,3640,4008
WBGene00016119,75,489,484
WBGene00016120,1480,2180,2240
WBGene00016121,180,154,204
WBGene00016123,157,122,131
WBGene00016124,278,370,393
WBGene00016125,7,14,10
WBGene00016126,27,23,37
WBGene00016128,271,393,421
WBGene00016129,113,95,77
WBGene00016130,1,4,4
WBGene00016131,293,516,610
WBGene00016132,89,1,0
WBGene00016133,1866,202,141
WBGene00016134,1675,1511,1494
WBGene00016135,81,98,146
WBGene00016136,63,2,0
WBGene00016137,0,0,0
WBGene00016138,573,449,522
WBGene00016139,642,572,631
WBGene00016140,2188,2208,2300
WBGene00016142,1112,784,823
WBGene00016143,404,543,499
WBGene00016144,359,389,438
WBGene00016145,170,198,194
WBGene00016146,14,30,30
WBGene00016147,21,1336,1415
WBGene00016148,160,110,90
WBGene00016149,29,41,46
WBGene00016150,284,528,697
WBGene00016151,725,701,682
WBGene00016152,19,19,25
WBGene00016153,0,0,2
WBGene00016154,206,285,303
WBGene00016155,33,48,55
WBGene00016156,157,316,348
WBGene00016157,397,559,636
WBGene00016158,667,853,1012
WBGene00016159,204,191,213
WBGene00016160,0,0,0
WBGene00016161,0,0,0
WBGene00016162,1567,1880,2086
WBGene00016163,25,17,29
WBGene00016164,0,3,2
WBGene00016165,44,57,41
WBGene00016166,412,362,421
WBGene00016167,373,513,502
WBGene00016168,0,0,0
WBGene00016169,26,22,34
WBGene00016170,3691,3703,3716
WBGene00016171,318,301,366
WBGene00016172,551,819,1033
WBGene00016173,3606,2822,2838
WBGene00016174,88,256,177
WBGene00016175,4,12,21
WBGene00016177,2,4,3
WBGene00016178,25,41,38
WBGene00016179,0,0,1
WBGene00016180,1328,579,251
WBGene00016181,10,33,73
WBGene00016182,174,123,129
WBGene00016183,0,0,0
WBGene00016184,91,143,139
WBGene00016185,0,0,0
WBGene00016187,0,11,14
WBGene00016188,468,597,584
WBGene00016189,5,16,9
WBGene00016190,227,227,209
WBGene00016191,53,65,53
WBGene00016192,178,159,179
WBGene00016193,15,43,48
WBGene00016194,5585,6773,7701
WBGene00016195,2038,1850,1808
WBGene00016196,61,11,13
WBGene00016197,326,1211,1478
WBGene00016198,0,5,1
WBGene00016199,5,11,18
WBGene00016200,587,754,720
WBGene00016201,1131,2017,2846
WBGene00016202,850,909,1065
WBGene00016203,473,502,551
WBGene00016204,275,258,185
WBGene00016206,3,4,1
WBGene00016207,4,17,36
WBGene00016208,89,86,106
WBGene00016209,337,216,217
WBGene00016210,671,734,990
WBGene00016211,0,3,4
WBGene00016212,7,18,19
WBGene00016213,0,0,0
WBGene00016215,80,113,134
WBGene00016216,129,149,176
WBGene00016217,218,163,257
WBGene00016218,211,395,549
WBGene00016219,141,255,347
WBGene00016220,0,0,0
WBGene00016221,111,73,79
WBGene00016222,0,0,0
WBGene00016223,0,0,0
WBGene00016224,9,8,7
WBGene00016225,0,0,0
WBGene00016226,1,5,6
WBGene00016227,2,6,11
WBGene00016230,4,1,3
WBGene00016231,0,0,0
WBGene00016232,0,1,2
WBGene00016233,2,0,0
WBGene00016234,46,553,802
WBGene00016235,3624,3373,3081
WBGene00016236,38,53,76
WBGene00016237,163,291,323
WBGene00016238,564,552,665
WBGene00016239,2,0,0
WBGene00016242,79,19,23
WBGene00016244,826,1021,1131
WBGene00016245,164,188,205
WBGene00016246,37,61,56
WBGene00016247,21,25,23
WBGene00016248,60,74,78
WBGene00016249,434,259,307
WBGene00016250,8066,4873,4772
WBGene00016251,2,0,0
WBGene00016252,0,0,0
WBGene00016253,0,0,0
WBGene00016254,5,2,3
WBGene00016255,1,3,5
WBGene00016257,1,0,2
WBGene00016258,7549,8520,9602
WBGene00016259,52,10,3
WBGene00016260,286,441,331
WBGene00016261,149,188,186
WBGene00016262,22,38,36
WBGene00016263,12,18,10
WBGene00016264,509,2117,2291
WBGene00016265,205,263,268
WBGene00016266,313,619,836
WBGene00016268,0,5,11
WBGene00016269,353,610,691
WBGene00016271,2,6,3
WBGene00016273,61,8,2
WBGene00016274,291,527,369
WBGene00016276,134,25,26
WBGene00016277,75,54,83
WBGene00016278,1608,1524,1641
WBGene00016279,3,3,0
WBGene00016280,6,2,0
WBGene00016281,22,88,199
WBGene00016282,80,67,60
WBGene00016283,150,2721,4181
WBGene00016284,0,1,1
WBGene00016285,13,18,18
WBGene00016286,0,0,0
WBGene00016287,0,0,0
WBGene00016288,0,0,1
WBGene00016289,703,640,700
WBGene00016291,44,40,48
WBGene00016292,517,742,895
WBGene00016293,48,78,110
WBGene00016294,84,100,142
WBGene00016295,11,101,142
WBGene00016296,0,0,0
WBGene00016297,1,0,0
WBGene00016298,2,2,3
WBGene00016299,0,0,0
WBGene00016300,0,0,0
WBGene00016301,9,62,76
WBGene00016302,9,21,48
WBGene00016303,6,5,9
WBGene00016304,41,140,141
WBGene00016305,21,49,121
WBGene00016306,0,2,0
WBGene00016307,0,0,0
WBGene00016308,0,6,0
WBGene00016309,0,0,1
WBGene00016310,45,120,133
WBGene00016311,1039,1180,1471
WBGene00016312,2,3,1
WBGene00016313,299,322,340
WBGene00016314,130,134,146
WBGene00016315,196,341,330
WBGene00016316,818,1476,1909
WBGene00016317,435,535,683
WBGene00016318,784,1100,1481
WBGene00016319,591,135,97
WBGene00016320,2,5,1
WBGene00016321,751,1619,2014
WBGene00016322,1,7,0
WBGene00016323,205,167,239
WBGene00016324,43,84,100
WBGene00016325,200,263,311
WBGene00016326,2496,3384,3792
WBGene00016327,0,1,0
WBGene00016328,38,40,39
WBGene00016329,1374,28,5
WBGene00016330,237,273,300
WBGene00016331,1049,1594,2058
WBGene00016332,357,731,842
WBGene00016333,2078,2140,2374
WBGene00016334,9,16,18
WBGene00016335,373,557,621
WBGene00016336,3,3,3
WBGene00016337,11,4,8
WBGene00016338,5,9,2
WBGene00016339,6,8,2
WBGene00016340,14,21,12
WBGene00016341,219,168,190
WBGene00016342,196,270,315
WBGene00016343,302,318,265
WBGene00016344,40,27,41
WBGene00016345,8,17,37
WBGene00016346,23,18,27
WBGene00016347,2,1,0
WBGene00016349,1,2,2
WBGene00016350,0,0,1
WBGene00016351,0,0,0
WBGene00016352,127,191,211
WBGene00016353,35,40,75
WBGene00016354,1520,1623,1394
WBGene00016355,520,399,476
WBGene00016356,0,0,1
WBGene00016357,0,0,0
WBGene00016358,0,0,0
WBGene00016359,25,15,20
WBGene00016360,14,73,69
WBGene00016361,0,2,1
WBGene00016362,715,918,1093
WBGene00016363,13,22,32
WBGene00016364,55,43,37
WBGene00016365,52,84,98
WBGene00016366,37,72,63
WBGene00016367,12,85,67
WBGene00016368,40,65,85
WBGene00016369,0,0,0
WBGene00016370,0,0,0
WBGene00016371,1,0,0
WBGene00016373,59,76,72
WBGene00016374,302,247,284
WBGene00016375,170,196,194
WBGene00016376,583,780,867
WBGene00016378,505,776,1151
WBGene00016379,145,128,172
WBGene00016380,431,196,193
WBGene00016381,101,50,64
WBGene00016382,0,0,0
WBGene00016383,162,273,322
WBGene00016384,614,1002,1292
WBGene00016386,76,10,20
WBGene00016387,134,79,98
WBGene00016388,1,0,0
WBGene00016389,0,0,2
WBGene00016390,190,205,228
WBGene00016391,1675,1289,1516
WBGene00016392,272,233,264
WBGene00016393,2175,2147,2314
WBGene00016394,41,23,20
WBGene00016395,995,598,721
WBGene00016396,304,260,341
WBGene00016397,9,34,45
WBGene00016398,1,4,1
WBGene00016399,0,0,0
WBGene00016400,445,558,515
WBGene00016402,26,33,27
WBGene00016403,18,67,53
WBGene00016404,177,103,147
WBGene00016405,7711,9213,10015
WBGene00016406,221,440,471
WBGene00016407,1176,5336,7664
WBGene00016408,924,749,972
WBGene00016409,439,483,644
WBGene00016410,5,6,5
WBGene00016411,130,58,64
WBGene00016412,658,546,621
WBGene00016413,0,0,0
WBGene00016414,0,0,0
WBGene00016415,3218,4734,5815
WBGene00016416,4,11,6
WBGene00016417,70,1143,1188
WBGene00016418,1031,1365,1280
WBGene00016419,629,5631,5853
WBGene00016420,1,2,0
WBGene00016421,86,75,75
WBGene00016422,35255,7102,3002
WBGene00016423,121,29,55
WBGene00016424,115,251,322
WBGene00016425,82,89,165
WBGene00016427,61,99,134
WBGene00016428,140,135,147
WBGene00016429,383,51,15
WBGene00016430,0,0,1
WBGene00016431,176,199,210
WBGene00016432,307,501,569
WBGene00016433,0,0,0
WBGene00016434,0,0,0
WBGene00016435,1569,2068,2331
WBGene00016436,70,64,95
WBGene00016437,1,2,0
WBGene00016438,206,273,379
WBGene00016439,505,722,878
WBGene00016440,0,3,3
WBGene00016441,0,4,0
WBGene00016442,234,208,228
WBGene00016443,379,401,548
WBGene00016444,274,380,521
WBGene00016445,12,24,40
WBGene00016446,362,298,354
WBGene00016447,0,0,0
WBGene00016448,52,84,86
WBGene00016449,415,230,176
WBGene00016450,438,683,573
