wormbase_ID,WT,nekl-2(fd90),nekl-3(gk506)
WBGene00000236,284,183,184
WBGene00000237,1045,947,1184
WBGene00000238,446,657,861
WBGene00000239,630,647,732
WBGene00000240,794,1180,1402
WBGene00000241,60,64,64
WBGene00000242,43,48,30
WBGene00000244,63,88,92
WBGene00000245,773,372,389
WBGene00000246,142,651,622
WBGene00000247,481,525,555
WBGene00000248,1222,1488,1610
WBGene00000249,310,285,284
WBGene00000250,42,56,56
WBGene00000251,6,1,5
WBGene00000252,10,3,2
WBGene00000253,731,1283,1419
WBGene00000254,4492,5199,5661
WBGene00000255,5,5,4
WBGene00000256,3,0,2
WBGene00000257,1012,802,845
WBGene00000259,360,489,628
WBGene00000262,147,103,143
WBGene00000263,3274,3229,3550
WBGene00000264,135,138,165
WBGene00000265,267,193,196
WBGene00000266,1592,703,712
WBGene00000267,53,106,109
WBGene00000268,764,1979,2578
WBGene00000269,289,395,437
WBGene00000270,93,107,107
WBGene00000271,367,496,531
WBGene00000272,178,92,106
WBGene00000273,4135,27655,37748
WBGene00000274,684,681,767
WBGene00000275,1166,1045,992
WBGene00000276,2071,2009,2346
WBGene00000277,4336,7589,9076
WBGene00000279,65,82,76
WBGene00000280,71,88,114
WBGene00000281,1221,1853,1787
WBGene00000282,936,1178,1076
WBGene00000283,598,621,558
WBGene00000284,244,386,400
WBGene00000285,144,161,192
WBGene00000286,199,479,543
WBGene00000287,80,128,143
WBGene00000288,355,412,469
WBGene00000289,1321,1555,1611
WBGene00000292,1493,2255,2570
WBGene00000293,1978,2743,3046
WBGene00000294,2160,4299,5441
WBGene00000295,99,117,103
WBGene00000296,51,73,75
WBGene00000298,250,545,692
WBGene00000301,777,247,219
WBGene00000302,209,258,271
WBGene00000308,0,7,6
WBGene00000310,0,0,0
WBGene00000311,0,0,0
WBGene00000366,4837,5684,6669
WBGene00000367,447,738,720
WBGene00000368,644,664,768
WBGene00000369,1248,1244,1319
WBGene00000370,717,3018,3655
WBGene00000371,5019,5162,5302
WBGene00000372,9,14,26
WBGene00000373,1463,763,685
WBGene00000374,545,679,776
WBGene00000375,164,232,262
WBGene00000376,2069,2560,2719
WBGene00000377,9125,7109,8785
WBGene00000378,6676,5163,5707
WBGene00000379,6443,4687,5517
WBGene00000380,11818,8722,10101
WBGene00000381,6555,4519,4945
WBGene00000382,453,464,461
WBGene00000383,1175,3101,4184
WBGene00000386,276,360,356
WBGene00000387,873,344,301
WBGene00000388,0,0,0
WBGene00000389,0,0,0
WBGene00000390,2121,2759,2907
WBGene00000391,297,182,173
WBGene00000392,255,217,273
WBGene00000393,466,618,717
WBGene00000395,417,338,374
WBGene00000396,1296,2258,2209
WBGene00000397,1756,109,42
WBGene00000399,2341,5458,3426
WBGene00000401,338,156,117
WBGene00000402,6404,2307,1141
WBGene00000403,3810,5456,6655
WBGene00000405,1625,1000,970
WBGene00000406,115,175,146
WBGene00000407,150,180,180
WBGene00000408,195,256,271
WBGene00000409,308,384,374
WBGene00000410,539,617,640
WBGene00000411,1241,977,822
WBGene00000412,59,41,62
WBGene00000413,392,393,353
WBGene00000414,736,917,1029
WBGene00000415,1989,6959,8608
WBGene00000416,224,207,321
WBGene00000417,127,143,154
WBGene00000418,311,273,299
WBGene00000419,710,1313,1677
WBGene00000420,400,1114,1234
WBGene00000421,2570,3763,4365
WBGene00000422,26,2,11
WBGene00000423,333,420,449
WBGene00000424,1249,1793,1855
WBGene00000425,108,233,293
WBGene00000426,492,683,743
WBGene00000427,0,0,0
WBGene00000428,7,5,5
WBGene00000429,17,19,20
WBGene00000430,5,3,7
WBGene00000431,224,126,156
WBGene00000432,0,1,0
WBGene00000433,1,11,13
WBGene00000434,19,16,11
WBGene00000435,36,30,29
WBGene00000436,2,0,0
WBGene00000437,317,363,462
WBGene00000438,54,80,110
WBGene00000439,54,62,69
WBGene00000440,44,36,42
WBGene00000441,510,1084,1279
WBGene00000442,8,17,7
WBGene00000443,940,1042,1032
WBGene00000444,130,183,161
WBGene00000445,117,76,56
WBGene00000446,98,90,53
WBGene00000447,31,42,47
WBGene00000448,325,268,291
WBGene00000449,159,121,138
WBGene00000450,0,0,1
WBGene00000451,13,17,21
WBGene00000452,63,52,76
WBGene00000453,291,388,403
WBGene00000454,23,34,35
WBGene00000455,109,123,121
WBGene00000457,18,12,16
WBGene00000458,219,277,282
WBGene00000459,918,1193,1303
WBGene00000460,121,124,114
WBGene00000461,5,13,14
WBGene00000462,114,111,133
WBGene00000463,251,259,295
WBGene00000464,1406,1486,1691
WBGene00000465,76,130,130
WBGene00000466,402,590,649
WBGene00000467,51,93,92
WBGene00000468,41,5,5
WBGene00000469,5,9,14
WBGene00000472,9971,11349,11227
WBGene00000473,267,232,266
WBGene00000474,206,161,150
WBGene00000475,7970,6786,7376
WBGene00000476,211,274,301
WBGene00000477,199,234,232
WBGene00000478,179,213,202
WBGene00000479,1012,930,990
WBGene00000480,1553,1644,2016
WBGene00000481,248,324,403
WBGene00000482,2706,2829,3334
WBGene00000483,0,0,1
WBGene00000484,25,56,31
WBGene00000485,175,253,205
WBGene00000487,9,7,11
WBGene00000488,66,73,81
WBGene00000490,75,112,103
WBGene00000491,164,270,267
WBGene00000492,39,48,35
WBGene00000493,477,116,112
WBGene00000496,65,83,87
